# base64 English<TAB>base64 Japanese
QW5kIHlvdSBhcmUganVzdCBzaXR0aW5nIGF0IGhvbWUgaW1hZ2luaW5nIHdoYXQgY291bGQgYmU=	5a6244Gr5bqn44Gj44GmIOaDs+WDj+OBl+OBpg==
TG92ZSB5b3U=	5oSb44GX44Gm44KL44CC
V2hhdCdzIHlvdXIgdmVyZGljdD8=	5Yik5pat44GvPw==
SSBjb21wbGV0ZWx5IHVuZGVyc3RhbmQuIExldCBtZSBlc2NhbGF0ZSB0aGlzIHRvIG91ciBtZWRpY2FsIHJldmlldyB0ZWFtIGFuZCBzZWUgaWYgYW55dGhpbmcgY2FuIGJlIGRvbmUuIFRoaXMgbWF5IHRha2Ugc29tZSB0aW1lLCBidXQgSeKAmWxsIGRvIG15IGJlc3QgdG8gcHVzaCBpdCBmb3J3YXJk	5Yy75a2m55qE5a+p5p+744OB44O844Og44GrIOS8neOBiOOCiOOBhiDmmYLplpPjgYzjgYvjgYvjgovjgYvjgoLjgZfjgozjgb7jgZvjgpPjgYwg6aCR5by144KK44G+44GZ
QXJlIHlvdSBva2V5IHdpdGggbWUgZ29pbmc/	6KGM44GP5rCX44Gv44Gq44GE44GLPw==
V2Ugd2lsbA==	44Gd44GG44GZ44KL44KI44CC
U28gSSBnZW50bHkgcHVzaGVkIGhpbSBiYWNrIGFuZCB0b2xkIGhpbSB0aGF0IHdhcyBhbGwgaGUgd2FzIGdldHRpbmcgdG9uaWdodC4=	44Gg44GL44KJ56eB44Gv5b2844KS6Z2Z44GL44Gr5oq844GX5oi744GX44GmIOS7iuaZqeOBr+OBk+OCjOOBoOOBkeOBoOOBqOS8neOBiOOBnw==
U2VlIGl0IGFzIGEgcGVhY2Ugb2ZmZXJpbmc=	5ZKM5bmz44Gu54qg54my44Go44GX44Gm6KaL44Gm44GP44Gg44GV44GE
V2UncmUgaW4gdGhpcyB0b2dldGhlciwgcmVtZW1iZXI/IFlvdSBkb24ndCBnZXQgdG8gbWFrZSB0aGVzZSBkZWNpc2lvbnMgb24geW91ciBvd24=	5YWx44Gr44KE44KL44KT44GgIOaxuuaWreOBr+iHquWIhuOBp+OBp+OBjeOBquOBhA==
SSB0aGluayB5b3UnbGwgbGlrZSBpdA==	5rCX44Gr5YWl44KL44Go5oCd44GG
V2hhdCBkbyB5b3UgdGhpbms/	44Gp44GG5oCd44GG77yf
Tm90IGdvb2QgZW5vdWdo	5Y2B5YiG44GY44KD44Gq44GE
SXMgdGhlIEluc3VyYW5jZSBjb21wYW55IHN0aWxsIGdpdmluZyB5b3UgYSBoYXJkIHRpbWU/	5L+d6Zm65Lya56S+44Gv44G+44GgIOWbsOOBo+OBpuOBhOOCi+OBrj8=
SWwgc2VlIHdoYXQgSSBjYW4gZG8=	4pmqIOS9leOBjOOBp+OBjeOCi+OBi+imi+OCiOOBhg==
RXh0cmEgVmljdG9yaWEgcGljdHVyZQ==	VmljdG9yaWHjga7lhpnnnJ/jgYzov73liqDjgII=
WWVz	44Gv44GE44CC
SXQncyBub3QganVzdCAid2VpcmQsIiBpdCdzIHVwc2V0dGluZw==	IuWkiSLjgafjga/jgarjgY8g5YuV5o+644GZ44KL
Q2FuJ3Qgd2FpdCB0byBmaW5kIG91dCBtb3JlIGFib3V0IGhlciwgaWYgeW91IGtub3cgd2hhdCBJIG1lYW4=	5b285aWz44Gr44Gk44GE44Gm44KC44Gj44Go55+l44KK44Gf44GE44Gu44GM5b6F44Gh6YGg44GX44GE
